Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,baseline,AB,Emissions|co2e,kTonnes,25168.26842,26848.4725,15151.66279,16041.08394,16013.41444,16914.6004
Temoa,baseline,AB,Emissions|co2e|E_COAL_CCS_RFIT_90,kTonnes,-2.05E-05,-4.76E-05,-6.90E-05,-9.84E-05,-0.000133046,-0.000170245
Temoa,baseline,AB,Emissions|co2e|E_COAL_CCS_RFIT_95,kTonnes,-2.13E-05,-4.94E-05,-7.19E-05,-0.000102681,-0.000138806,-0.000177545
Temoa,baseline,AB,Emissions|co2e|E_NG_CCS-NEW,kTonnes,-0.000298407,-0.000649829,-0.000326904,-0.000514404,-0.000745527,-0.001009398
Temoa,baseline,AB,Emissions|co2e|E_NG_CCS_RFIT_90,kTonnes,-3.64E-05,-8.60E-05,-0.00014803,-0.000218196,-0.00028168,-0.00036137
Temoa,baseline,AB,Emissions|co2e|E_NG_CCS_RFIT_95,kTonnes,-3.72E-05,-8.77E-05,-0.00015169,-0.000223615,-0.000288896,-0.000371275
Temoa,baseline,AB,Emissions|co2e|F_E_BIO_M,kTonnes,0.000144448,0.000261719,0.000307369,0.000422118,0.000577773,0.000732579
Temoa,baseline,AB,Emissions|co2e|F_E_COAL,kTonnes,0.000110221,0.000184739,0.000210709,0.000278522,0.000364332,0.00045371
Temoa,baseline,AB,Emissions|co2e|F_E_NG,kTonnes,25168.26858,26848.47297,15151.66304,16041.0844,16013.41509,16914.60131
Temoa,baseline,AB,Emissions|co2|E_COAL_CCS_RFIT_90,kTonnes,-2.05E-05,-4.76E-05,-6.90E-05,-9.84E-05,-0.000133046,-0.000170245
Temoa,baseline,AB,Emissions|co2|E_COAL_CCS_RFIT_95,kTonnes,-2.13E-05,-4.94E-05,-7.19E-05,-0.000102681,-0.000138806,-0.000177545
Temoa,baseline,AB,Emissions|co2|E_NG_CCS-NEW,kTonnes,-0.000298407,-0.000649829,-0.000326904,-0.000514404,-0.000745527,-0.001009398
Temoa,baseline,AB,Emissions|co2|E_NG_CCS_RFIT_90,kTonnes,-3.64E-05,-8.60E-05,-0.00014803,-0.000218196,-0.00028168,-0.00036137
Temoa,baseline,AB,Emissions|co2|E_NG_CCS_RFIT_95,kTonnes,-3.72E-05,-8.77E-05,-0.00015169,-0.000223615,-0.000288896,-0.000371275
Temoa,baseline,AB,Emissions|co2|F_E_BIO_M,kTonnes,0.000119123,0.000215834,0.000253481,0.000348112,0.000476477,0.000604143
Temoa,baseline,AB,Emissions|co2|F_E_COAL,kTonnes,0.000109942,0.000184271,0.000210175,0.000277816,0.000363408,0.00045256
Temoa,baseline,AB,Emissions|co2|F_E_NG,kTonnes,24820.68914,26477.68953,14942.41517,15819.55342,15792.26623,16681.00687
Temoa,baseline,AB,Emissions|co2|F_IMP_COAL,kTonnes,1.92E-05,3.21E-05,3.66E-05,4.84E-05,6.34E-05,7.89E-05
Temoa,baseline,AB,Emissions|co2|F_IMP_NG,kTonnes,1698.517598,1811.908661,1022.53225,1082.556158,1080.688854,1141.506731
Temoa,baseline,AB,Emissions|n2o,kTonnes,628.5343003,670.4945602,378.3868543,400.5986664,399.9077305,422.4133645
Temoa,baseline,AB,Emissions|n2o|F_E_BIO_M,kTonnes,5.34E-05,9.67E-05,0.000113608,0.000156021,0.000213553,0.000270772
Temoa,baseline,AB,Emissions|n2o|F_E_NG,kTonnes,628.5342469,670.4944635,378.3867406,400.5985103,399.9075169,422.4130937
