Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,scenario_3,AB,Capacity|electricity|E_NG_CG-EXS,GW/y,5.04905,5.04905,5.04905,5.04905,3.08705,1.99105
Temoa,scenario_3,AB,Capacity|electricity|E_NG_CT-EXS,GW/y,1.798,1.788,1.788,1.788,1.597,1.597
Temoa,scenario_3,AB,Capacity|electricity|E_NG_CT-NEW,GW/y,,,,,0.12376081,0.12376081
Temoa,scenario_3,AB,Capacity|electricity|E_NUC_SMR-NEW,GW/y,,,,,,2.93564958
Temoa,scenario_3,AB,Capacity|electricity|E_SOL_PV-EXS,GW/y,1.695,1.695,1.695,1.695,1.658,0.3448
Temoa,scenario_3,AB,Capacity|electricity|E_SOL_PV-NEW-1,GW/y,,,2.04083E-05,4.11025E-05,6.01739E-05,6.01739E-05
Temoa,scenario_3,AB,Capacity|electricity|E_SOL_PV-NEW-2,GW/y,,1.22672E-05,0.42820056,0.624025701,1.578066768,1.578066768
Temoa,scenario_3,AB,Capacity|electricity|E_SOL_PV-NEW-3,GW/y,,4.06601E-05,10.89711241,10.8971689,10.89718965,10.89718965
Temoa,scenario_3,AB,Capacity|electricity|E_WND_ON-EXS,GW/y,4.7115,4.6421,4.3025,3.6253,3.2504,1.828
Temoa,scenario_3,AB,Capacity|electricity|E_WND_ON-NEW-1,GW/y,,,,,,0.62433538
Temoa,scenario_3,AB,Capacity|electricity|E_WND_ON-NEW-13,GW/y,,,,,,1.24579E-05
Temoa,scenario_3,AB,Capacity|electricity|E_WND_ON-NEW-2,GW/y,,,,,,0.975083931
Temoa,scenario_3,AB,Capacity|electricity|E_WND_ON-NEW-3,GW/y,,,,,,0.606274063
Temoa,scenario_3,AB,Capacity|electricity|E_WND_ON-NEW-4,GW/y,,,,,,1.237018676
Temoa,scenario_3,AB,Capacity|electricity|E_WND_ON-NEW-9,GW/y,,,,,,5.68643E-05
Temoa,scenario_3,AB,Emissions|ch4,ktonnes,6285.336634,6704.915075,3783.874341,4005.985532,3868.572115,2323.073079
Temoa,scenario_3,AB,Emissions|ch4|F_E_BIO_M,ktonnes,0.002574643,0.004433913,0.00525929,0.007144954,0.009822948,0.001448897
Temoa,scenario_3,AB,Emissions|ch4|F_E_COAL,ktonnes,,1.37463E-05,1.80693E-05,2.57286E-05,3.29732E-05,2.56228E-05
Temoa,scenario_3,AB,Emissions|ch4|F_E_NG,ktonnes,6285.33406,6704.910627,3783.869063,4005.978361,3868.562259,2323.071604
Temoa,scenario_3,AB,Emissions|co2,ktonnes,26519.17004,28289.45131,15964.95276,16902.07798,16322.28833,2999.999999
Temoa,scenario_3,AB,Emissions|co2e,ktonnes,25168.23375,26848.3335,15151.66811,16041.05435,15490.80026,2500.691047
Temoa,scenario_3,AB,Emissions|co2e|E_COAL_CCS_RFIT_90,ktonnes,-0.000119161,-0.000278687,-0.000462202,-0.000720626,-0.000962302,-0.000864854
Temoa,scenario_3,AB,Emissions|co2e|E_COAL_CCS_RFIT_95,ktonnes,-0.000123937,-0.000290149,-0.000483073,-0.00075416,-0.001008126,-0.001050328
Temoa,scenario_3,AB,Emissions|co2e|E_NG_CCS-NEW,ktonnes,-0.002053718,-0.004416214,-0.002104831,-0.00333343,-0.004912028,-692.4595837
Temoa,scenario_3,AB,Emissions|co2e|E_NG_CCS_RFIT_90,ktonnes,-0.000244598,-0.000545348,-0.000959983,-0.00147294,-0.00200304,-0.007258547
Temoa,scenario_3,AB,Emissions|co2e|E_NG_CCS_RFIT_95,ktonnes,-0.000256704,-0.000574934,-0.001022988,-0.001586471,-0.002186272,-6109.071081
Temoa,scenario_3,AB,Emissions|co2e|F_E_BIO_M,ktonnes,0.000968748,0.001668326,0.001978886,0.002688396,0.00369603,0.000545169
Temoa,scenario_3,AB,Emissions|co2e|F_E_COAL,ktonnes,0.000669079,0.001138769,0.0014969,0.002131414,0.002731573,0.002122646
Temoa,scenario_3,AB,Emissions|co2e|F_E_NG,ktonnes,25168.23491,26848.3368,15151.66967,16041.0574,15490.80491,9302.228218
Temoa,scenario_3,AB,Emissions|co2|E_COAL_CCS_RFIT_90,ktonnes,-0.000119161,-0.000278687,-0.000462202,-0.000720626,-0.000962302,-0.000864854
Temoa,scenario_3,AB,Emissions|co2|E_COAL_CCS_RFIT_95,ktonnes,-0.000123937,-0.000290149,-0.000483073,-0.00075416,-0.001008126,-0.001050328
Temoa,scenario_3,AB,Emissions|co2|E_NG_CCS-NEW,ktonnes,-0.002053718,-0.004416214,-0.002104831,-0.00333343,-0.004912028,-692.4595837
Temoa,scenario_3,AB,Emissions|co2|E_NG_CCS_RFIT_90,ktonnes,-0.000244598,-0.000545348,-0.000959983,-0.00147294,-0.00200304,-0.007258547
Temoa,scenario_3,AB,Emissions|co2|E_NG_CCS_RFIT_95,ktonnes,-0.000256704,-0.000574934,-0.001022988,-0.001586471,-0.002186272,-6109.071081
Temoa,scenario_3,AB,Emissions|co2|F_E_BIO_M,ktonnes,0.000798907,0.001375834,0.001631947,0.002217065,0.003048041,0.00044959
Temoa,scenario_3,AB,Emissions|co2|F_E_COAL,ktonnes,0.000667383,0.001135882,0.001493106,0.002126011,0.002724648,0.002117265
Temoa,scenario_3,AB,Emissions|co2|F_E_NG,ktonnes,24820.65593,26477.55524,14942.42171,15819.52679,15276.87341,9173.762357
Temoa,scenario_3,AB,Emissions|co2|F_IMP_COAL,ktonnes,0.000116377,0.000198073,0.000260365,0.00037073,0.000475119,0.000369205
Temoa,scenario_3,AB,Emissions|co2|F_IMP_NG,ktonnes,1698.515326,1811.899471,1022.532698,1082.554336,1045.419738,627.774544
Temoa,scenario_3,AB,Emissions|n2o,ktonnes,628.533764,670.4916794,378.3876498,400.5988469,386.857614,232.307379
Temoa,scenario_3,AB,Emissions|n2o|F_E_BIO_M,ktonnes,0.000358063,0.000616637,0.000731424,0.000993669,0.001366105,0.000201502
Temoa,scenario_3,AB,Emissions|n2o|F_E_COAL,ktonnes,,,1.20462E-05,1.71524E-05,2.19822E-05,1.70819E-05
Temoa,scenario_3,AB,Emissions|n2o|F_E_NG,ktonnes,628.533406,670.4910627,378.3869063,400.5978361,386.8562259,232.3071604
