Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,scenario_5,AB,Activity|electricity|F_E_NG,PJ,478.4553594,510.3942062,147.372414,132.7219569,134.8467469,174.0226508
Temoa,scenario_5,AB,Activity|fuel|F_IMP_NG,PJ,478.4553594,510.3942062,147.372414,132.7219569,134.8467469,174.0226508
Temoa,scenario_5,AB,Capacity|electricity,GW/y,26.88015,26.3928229,64.34946789,85.01104817,101.6601485,117.596839
Temoa,scenario_5,AB,Capacity|electricity|E_BAT_2H-EXS,GW/y,0.37,0.37,0.256,,,
Temoa,scenario_5,AB,Capacity|electricity|E_BAT_2H-NEW,GW/y,,,9.999995851,19.99999686,30.00000001,40.00000005
Temoa,scenario_5,AB,Capacity|electricity|E_BAT_4H-NEW,GW/y,,,9.999997643,19.9999983,30.00000003,40.00000005
Temoa,scenario_5,AB,Capacity|electricity|E_BIO_M-EXS,GW/y,0.444,0.444,0.444,0.401,0.354,0.336
Temoa,scenario_5,AB,Capacity|electricity|E_COAL-EXS,GW/y,4.36,3.952,3.122,2.7,2.299,1.366
Temoa,scenario_5,AB,Capacity|electricity|E_HYD_DLY-EXS,GW/y,0.781,0.781,0.781,0.781,0.781,0.781
Temoa,scenario_5,AB,Capacity|electricity|E_HYD_ROR-EXS,GW/y,0.1464,0.1464,0.1464,0.1464,0.1464,0.1464
Temoa,scenario_5,AB,Capacity|electricity|E_INT_IN-BC,GW/y,0.976,0.976,0.976,0.976,0.976,0.976
Temoa,scenario_5,AB,Capacity|electricity|E_INT_IN-SK,GW/y,0.153,0.153,0.153,0.153,0.153,0.153
Temoa,scenario_5,AB,Capacity|electricity|E_INT_IN-USA,GW/y,0.294,0.294,0.294,0.294,0.294,0.294
Temoa,scenario_5,AB,Capacity|electricity|E_NG_CC-EXS,GW/y,6.1022,6.1022,6.1022,6.1022,5.452,5.452
Temoa,scenario_5,AB,Capacity|electricity|E_NG_CG-EXS,GW/y,5.04905,5.04905,5.04905,5.04905,3.08705,1.99105
Temoa,scenario_5,AB,Capacity|electricity|E_NG_CT-EXS,GW/y,1.798,1.788,1.788,1.788,1.597,1.597
Temoa,scenario_5,AB,Capacity|electricity|E_SOL_PV-EXS,GW/y,1.695,1.695,1.695,1.695,1.658,0.3448
Temoa,scenario_5,AB,Capacity|electricity|E_SOL_PV-NEW-1,GW/y,,1.40E-05,3.498810985,3.498990525,3.499024484,3.499024484
Temoa,scenario_5,AB,Capacity|electricity|E_SOL_PV-NEW-2,GW/y,,1.82E-05,4.7124757,4.712603333,4.712622167,4.712622167
Temoa,scenario_5,AB,Capacity|electricity|E_SOL_PV-NEW-3,GW/y,,4.08E-05,10.89712166,10.89718782,10.89719814,10.89719814
Temoa,scenario_5,AB,Capacity|electricity|E_SOL_PV-NEW-4,GW/y,,,0.001668451,0.697545928,1.009636891,1.728915226
Temoa,scenario_5,AB,Capacity|electricity|E_SOL_PV-NEW-5,GW/y,,,0.130247593,1.493775402,1.493816787,1.493828919
Temoa,scenario_5,AB,Capacity|electricity|E_WND_ON-EXS,GW/y,4.7115,4.6421,4.3025,3.6253,3.2504,1.828
Temoa,scenario_5,AB,Emissions|ch4,ktonnes,6285.340876,6704.914826,1935.996954,1743.539681,1771.454935,2286.102055
Temoa,scenario_5,AB,Emissions|ch4|F_E_BIO_M,ktonnes,0.002375463,0.004329191,0.00543956,0.007248459,0.009705334,0.013575388
Temoa,scenario_5,AB,Emissions|ch4|F_E_COAL,ktonnes,,1.46E-05,1.77E-05,2.28E-05,2.90E-05,3.73E-05
Temoa,scenario_5,AB,Emissions|ch4|F_E_NG,ktonnes,6285.338501,6704.910482,1935.991497,1743.53241,1771.4452,2286.088442
Temoa,scenario_5,AB,Emissions|co2,ktonnes,26519.18923,28289.4517,8168.361132,7356.333825,7474.103111,9645.490658
Temoa,scenario_5,AB,Emissions|co2e,ktonnes,25168.25196,26848.3339,7752.249501,6981.588376,7093.358308,9154.131305
Temoa,scenario_5,AB,Emissions|co2e|E_COAL_CCS_RFIT_90,ktonnes,-0.00013874,-0.000313646,-0.000474334,-0.000665477,-0.00088364,-0.001152408
Temoa,scenario_5,AB,Emissions|co2e|E_COAL_CCS_RFIT_95,ktonnes,-0.000144412,-0.000326193,-0.0004949,-0.000694852,-0.000922651,-0.001201656
Temoa,scenario_5,AB,Emissions|co2e|E_NG_CCS-NEW,ktonnes,-0.001577891,-0.003379514,-0.002174865,-0.002997667,-0.003699102,-0.006011299
Temoa,scenario_5,AB,Emissions|co2e|E_NG_CCS_RFIT_90,ktonnes,-0.00024232,-0.000560272,-0.001042698,-0.001546036,-0.002029011,-0.002878192
Temoa,scenario_5,AB,Emissions|co2e|E_NG_CCS_RFIT_95,ktonnes,-0.000247309,-0.000570723,-0.001063493,-0.001579719,-0.002077493,-0.002942118
Temoa,scenario_5,AB,Emissions|co2e|F_E_BIO_M,ktonnes,0.000893803,0.001628923,0.002046715,0.002727341,0.003651776,0.005107942
Temoa,scenario_5,AB,Emissions|co2e|F_E_COAL,ktonnes,0.000721637,0.001209638,0.001462403,0.001884849,0.002403249,0.003086631
Temoa,scenario_5,AB,Emissions|co2e|F_E_NG,ktonnes,25168.25269,26848.33621,7752.251242,6981.591248,7093.361865,9154.137297
Temoa,scenario_5,AB,Emissions|co2|E_COAL_CCS_RFIT_90,ktonnes,-0.00013874,-0.000313646,-0.000474334,-0.000665477,-0.00088364,-0.001152408
Temoa,scenario_5,AB,Emissions|co2|E_COAL_CCS_RFIT_95,ktonnes,-0.000144412,-0.000326193,-0.0004949,-0.000694852,-0.000922651,-0.001201656
Temoa,scenario_5,AB,Emissions|co2|E_NG_CCS-NEW,ktonnes,-0.001577891,-0.003379514,-0.002174865,-0.002997667,-0.003699102,-0.006011299
Temoa,scenario_5,AB,Emissions|co2|E_NG_CCS_RFIT_90,ktonnes,-0.00024232,-0.000560272,-0.001042698,-0.001546036,-0.002029011,-0.002878192
Temoa,scenario_5,AB,Emissions|co2|E_NG_CCS_RFIT_95,ktonnes,-0.000247309,-0.000570723,-0.001063493,-0.001579719,-0.002077493,-0.002942118
Temoa,scenario_5,AB,Emissions|co2|F_E_BIO_M,ktonnes,0.000737101,0.001343339,0.001687885,0.002249182,0.003011546,0.004212416
Temoa,scenario_5,AB,Emissions|co2|F_E_COAL,ktonnes,0.000719807,0.001206572,0.001458696,0.001880071,0.002397157,0.003078807
Temoa,scenario_5,AB,Emissions|co2|F_E_NG,ktonnes,24820.67347,26477.55466,7645.190912,6885.173905,6995.400945,9027.716605
Temoa,scenario_5,AB,Emissions|co2|F_IMP_COAL,ktonnes,0.000125519,0.0002104,0.000254365,0.000327843,0.000418012,0.000536876
Temoa,scenario_5,AB,Emissions|co2|F_IMP_NG,ktonnes,1698.516526,1811.899432,523.1720696,471.1629471,478.7059515,617.7804105
Temoa,scenario_5,AB,Emissions|n2o,ktonnes,628.5341804,670.4916503,193.5999179,174.3542642,177.1458891,228.610757
Temoa,scenario_5,AB,Emissions|n2o|F_E_BIO_M,ktonnes,0.000330362,0.000602073,0.000756495,0.001008064,0.001349748,0.001887968
Temoa,scenario_5,AB,Emissions|n2o|F_E_COAL,ktonnes,,,1.18E-05,1.52E-05,1.93E-05,2.48E-05
Temoa,scenario_5,AB,Emissions|n2o|F_E_NG,ktonnes,628.5338501,670.4910482,193.5991497,174.353241,177.14452,228.6088442
