Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,scenario_5,AB,Activity|electricity,PJ,1920.452465,1992.363381,1548.155424,1550.655825,1600.795939,1698.673965
Temoa,scenario_5,AB,Activity|electricity|E_BAT_2H-EXS,PJ,0.009074409,,0.53948886,,,
Temoa,scenario_5,AB,Activity|electricity|E_BAT_2H-NEW,PJ,,,19.3433964,28.43590116,33.69821508,39.200685
Temoa,scenario_5,AB,Activity|electricity|E_BAT_4H-NEW,PJ,,,34.09198645,39.4778645,35.12232573,34.54683612
Temoa,scenario_5,AB,Activity|electricity|E_ELC_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_5,AB,Activity|electricity|E_ELC_DX_to_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_5,AB,Activity|electricity|E_ELC_TX_to_DX,PJ,268.9498569,278.8426569,284.1742577,286.3594578,306.1563979,318.6350419
Temoa,scenario_5,AB,Activity|electricity|E_HYD_DLY-EXS,PJ,6.628524574,6.62852476,6.628504512,6.628507645,6.628492199,6.628515074
Temoa,scenario_5,AB,Activity|electricity|E_HYD_ROR-EXS,PJ,1.242527161,1.242527121,1.242526761,1.242526507,1.242526151,1.242526123
Temoa,scenario_5,AB,Activity|electricity|E_INT_IN-BC,PJ,0.037740325,0.037740332,0.037740289,0.037740265,0.037740059,0.037740221
Temoa,scenario_5,AB,Activity|electricity|E_INT_IN-SK,PJ,1.099709191,1.09970921,1.099709148,1.099709084,1.099709051,1.099708844
Temoa,scenario_5,AB,Activity|electricity|E_INT_IN-USA,PJ,4.478538507,4.47853844,4.478537969,4.478537639,4.478537478,4.478537485
Temoa,scenario_5,AB,Activity|electricity|E_INT_OUT-BC,PJ,,,7.8525576,7.8525576,7.8525576,7.8525576
Temoa,scenario_5,AB,Activity|electricity|E_INT_OUT-SK,PJ,7.8525576,7.8525576,,,,
Temoa,scenario_5,AB,Activity|electricity|E_NG_CC-EXS,PJ,192.4389699,192.4389651,26.20453596,18.12512916,40.74819358,74.32709418
Temoa,scenario_5,AB,Activity|electricity|E_NG_CC_RFIT_BYPASS,PJ,192.4390942,192.4391521,26.20463283,18.12521023,40.74828401,74.32723549
Temoa,scenario_5,AB,Activity|electricity|E_NG_CG-EXS,PJ,47.59401565,47.59401598,47.59399759,47.59399887,29.03186754,18.66282603
Temoa,scenario_5,AB,Activity|electricity|E_NG_CT-EXS,PJ,10.28410205,21.49942412,,,,
Temoa,scenario_5,AB,Activity|electricity|E_SOL_PV-EXS,PJ,11.39143067,11.39143063,11.39143022,11.39143001,11.14276697,2.317264672
Temoa,scenario_5,AB,Activity|electricity|E_SOL_PV-NEW-1,PJ,,,37.01166686,37.01358407,37.01375498,37.01375631
Temoa,scenario_5,AB,Activity|electricity|E_SOL_PV-NEW-2,PJ,,,50.29706831,50.29841822,50.29841616,50.29841712
Temoa,scenario_5,AB,Activity|electricity|E_SOL_PV-NEW-3,PJ,,0.000300731,118.6032425,118.603865,118.6038624,118.6038637
Temoa,scenario_5,AB,Activity|electricity|E_SOL_PV-NEW-4,PJ,,,0.017177034,7.322747031,10.66063335,18.4857792
Temoa,scenario_5,AB,Activity|electricity|E_SOL_PV-NEW-5,PJ,,,1.351044294,15.76510806,15.76541794,15.76541935
Temoa,scenario_5,AB,Activity|electricity|E_WND_ON-EXS,PJ,61.97816452,61.06523132,56.59790904,47.68957516,42.75789351,24.04671003
