Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,scenario_2,AB,Activity|electricity,PJ,1920.452433,1992.364215,1703.154266,1737.855915,1784.122835,1845.890671
Temoa,scenario_2,AB,Activity|electricity|E_BAT_2H-EXS,PJ,0.009078746,,0.296553906,,,
Temoa,scenario_2,AB,Activity|electricity|E_BAT_2H-NEW,PJ,,,,,0.687110754,0.872373382
Temoa,scenario_2,AB,Activity|electricity|E_BAT_4H-NEW,PJ,,,,,,2.552164374
Temoa,scenario_2,AB,Activity|electricity|E_ELC_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_2,AB,Activity|electricity|E_ELC_DX_to_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_2,AB,Activity|electricity|E_ELC_TX_to_DX,PJ,268.9498567,278.8426567,284.1742571,286.3594573,306.1563976,318.6350419
Temoa,scenario_2,AB,Activity|electricity|E_HYD_DLY-EXS,PJ,6.628524617,6.628524779,6.628476578,6.628491174,6.628487997,6.628498641
Temoa,scenario_2,AB,Activity|electricity|E_HYD_ROR-EXS,PJ,1.242527326,1.242527267,1.242526915,1.2425267,1.242526461,1.242526142
Temoa,scenario_2,AB,Activity|electricity|E_INT_IN-BC,PJ,0.037740351,0.037740347,0.037740303,0.037740319,0.037740286,0.037740271
Temoa,scenario_2,AB,Activity|electricity|E_INT_IN-SK,PJ,1.099709281,1.099709261,0.984418788,0.97394792,0.989463614,0.948350819
Temoa,scenario_2,AB,Activity|electricity|E_INT_IN-USA,PJ,4.478538683,4.478538653,4.369297259,4.40728218,4.337570347,4.358046579
Temoa,scenario_2,AB,Activity|electricity|E_INT_OUT-BC,PJ,,,,,7.8525576,7.8525576
Temoa,scenario_2,AB,Activity|electricity|E_INT_OUT-SK,PJ,7.8525576,7.8525576,7.8525576,7.8525576,,
Temoa,scenario_2,AB,Activity|electricity|E_NG_CC-EXS,PJ,192.438975,192.4389739,103.6894484,113.0010742,108.8051977,96.14129536
Temoa,scenario_2,AB,Activity|electricity|E_NG_CC-NEW,PJ,,,,,25.85502638,60.60773716
Temoa,scenario_2,AB,Activity|electricity|E_NG_CC_RFIT_BYPASS,PJ,192.4392775,192.4393341,103.6897341,113.0013566,134.6605339,156.7492867
Temoa,scenario_2,AB,Activity|electricity|E_NG_CG-EXS,PJ,47.59401581,47.59401599,47.59397829,47.59398944,29.03184731,18.66280384
Temoa,scenario_2,AB,Activity|electricity|E_NG_CT-EXS,PJ,10.2839639,21.49952852,,,,
Temoa,scenario_2,AB,Activity|electricity|E_SOL_PV-EXS,PJ,11.39143079,11.39143078,11.15059308,11.16464295,10.9332151,2.116530524
Temoa,scenario_2,AB,Activity|electricity|E_SOL_PV-NEW-1,PJ,,,,,4.22E-05,1.05E-05
Temoa,scenario_2,AB,Activity|electricity|E_SOL_PV-NEW-2,PJ,,,4.273443569,6.317585821,10.93588705,29.78754276
Temoa,scenario_2,AB,Activity|electricity|E_SOL_PV-NEW-3,PJ,,0.000270254,117.0584634,116.7611473,116.4672113,116.2970196
Temoa,scenario_2,AB,Activity|electricity|E_WND_ON-EXS,PJ,61.9781651,61.06523189,56.05373643,47.17706718,42.22148336,23.76964287
Temoa,scenario_2,AB,Activity|electricity|F_E_NG,PJ,478.4552716,510.3947752,288.0374405,304.945048,304.4189363,321.550702
Temoa,scenario_2,AB,Activity|fuel|F_IMP_NG,PJ,478.4552716,510.3947752,288.0374405,304.945048,304.4189363,321.550702
Temoa,scenario_2,AB,Capacity|electricity,GW/y,26.88015,26.39278796,36.43447561,35.23217233,34.54181486,33.7481177
Temoa,scenario_2,AB,Capacity|electricity|E_BAT_2H-EXS,GW/y,0.37,0.37,0.256,,,
Temoa,scenario_2,AB,Capacity|electricity|E_BAT_2H-NEW,GW/y,,,,,0.222619651,0.222619651
Temoa,scenario_2,AB,Capacity|electricity|E_BAT_4H-NEW,GW/y,,,,,1.78E-05,0.44376718
Temoa,scenario_2,AB,Capacity|electricity|E_BIO_M-EXS,GW/y,0.444,0.444,0.444,0.401,0.354,0.336
Temoa,scenario_2,AB,Capacity|electricity|E_COAL-EXS,GW/y,4.36,3.952,3.122,2.7,2.299,1.366
Temoa,scenario_2,AB,Capacity|electricity|E_HYD_DLY-EXS,GW/y,0.781,0.781,0.781,0.781,0.781,0.781
Temoa,scenario_2,AB,Capacity|electricity|E_HYD_ROR-EXS,GW/y,0.1464,0.1464,0.1464,0.1464,0.1464,0.1464
Temoa,scenario_2,AB,Capacity|electricity|E_INT_IN-BC,GW/y,0.976,0.976,0.976,0.976,0.976,0.976
Temoa,scenario_2,AB,Capacity|electricity|E_INT_IN-SK,GW/y,0.153,0.153,0.153,0.153,0.153,0.153
Temoa,scenario_2,AB,Capacity|electricity|E_INT_IN-USA,GW/y,0.294,0.294,0.294,0.294,0.294,0.294
Temoa,scenario_2,AB,Capacity|electricity|E_NG_CC-EXS,GW/y,6.1022,6.1022,6.1022,6.1022,5.452,5.452
Temoa,scenario_2,AB,Capacity|electricity|E_NG_CC-NEW,GW/y,,,,,0.997046867,2.549122022
Temoa,scenario_2,AB,Capacity|electricity|E_NG_CG-EXS,GW/y,5.04905,5.04905,5.04905,5.04905,3.08705,1.99105
Temoa,scenario_2,AB,Capacity|electricity|E_NG_CT-EXS,GW/y,1.798,1.788,1.788,1.788,1.597,1.597
Temoa,scenario_2,AB,Capacity|electricity|E_NG_CT-NEW,GW/y,,,,,1.302118895,1.537806068
Temoa,scenario_2,AB,Capacity|electricity|E_SOL_PV-EXS,GW/y,1.695,1.695,1.695,1.695,1.658,0.3448
Temoa,scenario_2,AB,Capacity|electricity|E_SOL_PV-NEW-1,GW/y,,,2.77E-05,5.21E-05,8.46E-05,0.000112608
