Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,scenario_4,AB,Activity|fuel|F_IMP_NG,PJ,377.047015,352.0205381,194.0784883,180.8137853,164.1957106,170.297958
Temoa,scenario_4,AB,Activity|fuel|F_IMP_U_ENR,PJ,134.5196212,201.7794319,242.1353185,295.9431669,336.2990532,376.65494
Temoa,scenario_4,AB,Capacity|electricity,GW/y,28.4656396,28.7709844,35.68984722,34.92584306,31.73838994,28.96324223
Temoa,scenario_4,AB,Capacity|electricity|E_BAT_2H-EXS,GW/y,0.37,0.37,0.256,,,
Temoa,scenario_4,AB,Capacity|electricity|E_BAT_2H-NEW,GW/y,,,,,,0.216783045
Temoa,scenario_4,AB,Capacity|electricity|E_BAT_4H-NEW,GW/y,,,,,,0.379440463
Temoa,scenario_4,AB,Capacity|electricity|E_BIO_M-EXS,GW/y,0.444,0.444,0.444,0.401,0.354,0.336
Temoa,scenario_4,AB,Capacity|electricity|E_COAL-EXS,GW/y,4.36,3.952,3.122,2.7,2.299,1.366
Temoa,scenario_4,AB,Capacity|electricity|E_HYD_DLY-EXS,GW/y,0.781,0.781,0.781,0.781,0.781,0.781
Temoa,scenario_4,AB,Capacity|electricity|E_HYD_ROR-EXS,GW/y,0.1464,0.1464,0.1464,0.1464,0.1464,0.1464
Temoa,scenario_4,AB,Capacity|electricity|E_INT_IN-BC,GW/y,0.976,0.976,0.976,0.976,0.976,0.976
Temoa,scenario_4,AB,Capacity|electricity|E_INT_IN-SK,GW/y,0.153,0.153,0.153,0.153,0.153,0.153
Temoa,scenario_4,AB,Capacity|electricity|E_INT_IN-USA,GW/y,0.294,0.294,0.294,0.294,0.294,0.294
Temoa,scenario_4,AB,Capacity|electricity|E_NG_CC-EXS,GW/y,6.1022,6.1022,6.1022,6.1022,5.452,5.452
Temoa,scenario_4,AB,Capacity|electricity|E_NG_CC-NEW,GW/y,,,,,,1.51998E-05
Temoa,scenario_4,AB,Capacity|electricity|E_NG_CG-EXS,GW/y,5.04905,5.04905,5.04905,5.04905,3.08705,1.99105
Temoa,scenario_4,AB,Capacity|electricity|E_NG_CT-EXS,GW/y,1.798,1.788,1.788,1.788,1.597,1.597
Temoa,scenario_4,AB,Capacity|electricity|E_NG_CT-NEW,GW/y,,,,,,0.120920101
Temoa,scenario_4,AB,Capacity|electricity|E_NUC_SMR-NEW,GW/y,1.5854896,2.378234399,2.853881282,3.488077121,3.963724,4.439370886
Temoa,scenario_4,AB,Capacity|electricity|E_SOL_PV-EXS,GW/y,1.695,1.695,1.695,1.695,1.658,0.3448
Temoa,scenario_4,AB,Capacity|electricity|E_SOL_PV-NEW-1,GW/y,,,,,,1.29564E-05
Temoa,scenario_4,AB,Capacity|electricity|E_SOL_PV-NEW-2,GW/y,,,1.76379E-05,1.76379E-05,1.76379E-05,0.697017056
Temoa,scenario_4,AB,Capacity|electricity|E_SOL_PV-NEW-3,GW/y,,,7.726798304,7.726798304,7.726798304,7.844432522
Temoa,scenario_4,AB,Capacity|electricity|E_WND_ON-EXS,GW/y,4.7115,4.6421,4.3025,3.6253,3.2504,1.828
Temoa,scenario_4,AB,Emissions|ch4,ktonnes,4953.165077,4624.399428,2549.55812,2375.303841,2156.997453,2237.161915
Temoa,scenario_4,AB,Emissions|ch4|F_E_BIO_M,ktonnes,0.000537606,0.000939977,0.001571372,0.002103511,0.00286434,0.003743162
Temoa,scenario_4,AB,Emissions|ch4|F_E_COAL,ktonnes,,,,,,1.09971E-05
Temoa,scenario_4,AB,Emissions|ch4|F_E_NG,ktonnes,4953.16454,4624.398488,2549.556548,2375.301737,2156.994589,2237.158161
Temoa,scenario_4,AB,Emissions|co2,ktonnes,20898.46254,19511.32784,10757.1249,10021.90618,9100.821269,9439.048024
Temoa,scenario_4,AB,Emissions|co2e,ktonnes,19833.85565,18517.38419,10209.13677,9511.371473,8637.208361,8958.205211
Temoa,scenario_4,AB,Emissions|co2e|E_COAL_CCS_RFIT_90,ktonnes,-3.45123E-05,-7.77229E-05,-0.000134642,-0.000194772,-0.000267328,-0.000339127
Temoa,scenario_4,AB,Emissions|co2e|E_COAL_CCS_RFIT_95,ktonnes,-3.60586E-05,-8.11539E-05,-0.000140419,-0.000203252,-0.000278916,-0.000353604
Temoa,scenario_4,AB,Emissions|co2e|E_NG_CCS-NEW,ktonnes,-0.000168169,-0.000397878,-0.000633851,-0.000901267,-0.001202794,-0.0017482
Temoa,scenario_4,AB,Emissions|co2e|E_NG_CCS_RFIT_90,ktonnes,-7.8988E-05,-0.000183549,-0.00028919,-0.000419576,-0.000550609,-0.000709942
Temoa,scenario_4,AB,Emissions|co2e|E_NG_CCS_RFIT_95,ktonnes,-8.07675E-05,-0.000187354,-0.000295279,-0.000429435,-0.000564515,-0.000728428
Temoa,scenario_4,AB,Emissions|co2e|F_E_BIO_M,ktonnes,0.000202282,0.00035368,0.000591252,0.000791478,0.001077751,0.00140842
Temoa,scenario_4,AB,Emissions|co2e|F_E_COAL,ktonnes,0.000158984,0.000267428,0.000419435,0.000556858,0.000735144,0.000911021
Temoa,scenario_4,AB,Emissions|co2e|F_E_NG,ktonnes,19833.85568,18517.3845,10209.13726,9511.372273,8637.209413,8958.206771
Temoa,scenario_4,AB,Emissions|co2|E_COAL_CCS_RFIT_90,ktonnes,-3.45123E-05,-7.77229E-05,-0.000134642,-0.000194772,-0.000267328,-0.000339127
Temoa,scenario_4,AB,Emissions|co2|E_COAL_CCS_RFIT_95,ktonnes,-3.60586E-05,-8.11539E-05,-0.000140419,-0.000203252,-0.000278916,-0.000353604
Temoa,scenario_4,AB,Emissions|co2|E_NG_CCS-NEW,ktonnes,-0.000168169,-0.000397878,-0.000633851,-0.000901267,-0.001202794,-0.0017482
Temoa,scenario_4,AB,Emissions|co2|E_NG_CCS_RFIT_90,ktonnes,-7.8988E-05,-0.000183549,-0.00028919,-0.000419576,-0.000550609,-0.000709942
Temoa,scenario_4,AB,Emissions|co2|E_NG_CCS_RFIT_95,ktonnes,-8.07675E-05,-0.000187354,-0.000295279,-0.000429435,-0.000564515,-0.000728428
Temoa,scenario_4,AB,Emissions|co2|F_E_BIO_M,ktonnes,0.000166818,0.000291673,0.000487593,0.000652715,0.000888799,0.001161496
Temoa,scenario_4,AB,Emissions|co2|F_E_COAL,ktonnes,0.000158581,0.00026675,0.000418372,0.000555446,0.00073328,0.000908712
Temoa,scenario_4,AB,Emissions|co2|F_E_NG,ktonnes,19559.94568,18261.65526,10068.14678,9380.018086,8517.927611,8834.491924
Temoa,scenario_4,AB,Emissions|co2|F_IMP_COAL,ktonnes,2.7653E-05,4.65154E-05,7.29548E-05,9.68576E-05,0.000127868,0.000158459
Temoa,scenario_4,AB,Emissions|co2|F_IMP_NG,ktonnes,1338.516903,1249.67291,688.9786335,641.888938,582.8947725,604.557751
Temoa,scenario_4,AB,Emissions|n2o,ktonnes,495.3165287,462.4399796,254.9558734,237.5304663,215.6998572,223.7163367
Temoa,scenario_4,AB,Emissions|n2o|F_E_BIO_M,ktonnes,7.47663E-05,0.000130725,0.000218535,0.000292541,0.000398352,0.000520572
Temoa,scenario_4,AB,Emissions|n2o|F_E_NG,ktonnes,495.316454,462.4398488,254.9556548,237.5301737,215.6994589,223.7158161
