Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,scenario_4,AB,Activity|electricity,PJ,1913.835936,1982.270521,1799.586658,1841.306072,1901.666854,1986.130153
Temoa,scenario_4,AB,Activity|electricity|E_BAT_2H-EXS,PJ,,,0.292857985,,,
Temoa,scenario_4,AB,Activity|electricity|E_BAT_2H-NEW,PJ,,,,,,0.763165116
Temoa,scenario_4,AB,Activity|electricity|E_BAT_4H-NEW,PJ,,,,,,2.068752305
Temoa,scenario_4,AB,Activity|electricity|E_ELC_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_4,AB,Activity|electricity|E_ELC_DX_to_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_4,AB,Activity|electricity|E_ELC_TX_to_DX,PJ,268.9498564,278.8426564,284.1742564,286.3594566,306.1563967,318.6350407
Temoa,scenario_4,AB,Activity|electricity|E_HYD_DLY-EXS,PJ,6.628524782,6.628524782,6.628488681,6.628481474,6.628485826,6.628500694
Temoa,scenario_4,AB,Activity|electricity|E_HYD_ROR-EXS,PJ,1.242527622,1.242527604,1.24252759,1.242527496,1.242527391,1.242527306
Temoa,scenario_4,AB,Activity|electricity|E_INT_IN-BC,PJ,0.037740372,0.03774037,0.037740372,0.037740353,0.037740358,0.03774036
Temoa,scenario_4,AB,Activity|electricity|E_INT_IN-SK,PJ,1.099709308,1.099709327,0.981679189,0.953113777,0.940822787,0.955962245
Temoa,scenario_4,AB,Activity|electricity|E_INT_IN-USA,PJ,4.478538784,4.478538736,4.427601635,4.352087781,4.322081477,4.354504344
Temoa,scenario_4,AB,Activity|electricity|E_INT_OUT-BC,PJ,,7.8525576,7.8525576,,7.8525576,
Temoa,scenario_4,AB,Activity|electricity|E_INT_OUT-SK,PJ,7.8525576,,,7.8525576,,7.8525576
Temoa,scenario_4,AB,Activity|electricity|E_NG_CC-EXS,PJ,152.7217144,138.9396037,51.94919872,44.63834924,56.93517792,72.28146658
Temoa,scenario_4,AB,Activity|electricity|E_NG_CC_RFIT_BYPASS,PJ,152.7217189,138.9396138,51.94925089,44.63840642,56.93524076,72.28186568
Temoa,scenario_4,AB,Activity|electricity|E_NG_CG-EXS,PJ,47.59401599,47.59401599,47.59398272,47.59397503,29.03184071,18.66280653
Temoa,scenario_4,AB,Activity|electricity|E_NUC_SMR-NEW,PJ,50,75,90.00000006,110,124.9999999,140
Temoa,scenario_4,AB,Activity|electricity|E_SOL_PV-EXS,PJ,11.39143074,11.3914308,10.78267646,11.12066589,10.33436505,2.005554874
Temoa,scenario_4,AB,Activity|electricity|E_SOL_PV-NEW-2,PJ,,,,,,7.022826176
Temoa,scenario_4,AB,Activity|electricity|E_SOL_PV-NEW-3,PJ,,,83.4986892,82.09309185,81.0677838,83.4777052
Temoa,scenario_4,AB,Activity|electricity|E_WND_ON-EXS,PJ,61.97816507,61.06523182,55.93974365,46.64666651,41.82547002,23.82547939
Temoa,scenario_4,AB,Activity|electricity|F_E_NG,PJ,377.047015,352.0205381,194.0784883,180.8137853,164.1957106,170.297958
Temoa,scenario_4,AB,Activity|electricity|F_E_U_ENR,PJ,134.5196212,201.7794319,242.1353185,295.9431669,336.2990532,376.65494
