Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,scenario_1,AB,Activity|electricity,PJ,1616.520358,1588.734807,1619.36153,1664.435569,1744.113847,1858.327952
Temoa,scenario_1,AB,Activity|electricity|E_BAT_2H-EXS,PJ,0.712761429,1.041251183,0.853670975,,,
Temoa,scenario_1,AB,Activity|electricity|E_BAT_2H-NEW,PJ,,,,,9.81E-05,0.000841551
Temoa,scenario_1,AB,Activity|electricity|E_BAT_4H-NEW,PJ,,,,1.12E-05,8.210751198,14.74137337
Temoa,scenario_1,AB,Activity|electricity|E_BIO_M-EXS,PJ,,,,0.290191067,1.865741554,2.737807333
Temoa,scenario_1,AB,Activity|electricity|E_COAL-EXS,PJ,73.72916361,54.91170741,57.57799303,50.13853111,30.34803218,14.35134128
Temoa,scenario_1,AB,Activity|electricity|E_COAL_RFIT_BYPASS,PJ,73.72915593,54.91169207,57.57796924,50.13849988,30.34799882,14.35131386
Temoa,scenario_1,AB,Activity|electricity|E_ELC_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_1,AB,Activity|electricity|E_ELC_DX_to_DEM,PJ,317.7864,327.6792,333.0108,335.196,336.4308,338.5404
Temoa,scenario_1,AB,Activity|electricity|E_ELC_TX_to_DX,PJ,268.9498623,281.2223596,286.5539606,288.7391615,307.6079962,319.5681891
Temoa,scenario_1,AB,Activity|electricity|E_HYD_DLY-EXS,PJ,6.62852405,6.628521953,6.628522641,6.628509166,6.628519494,6.097135266
Temoa,scenario_1,AB,Activity|electricity|E_HYD_ROR-EXS,PJ,1.242525748,1.242524763,1.242524066,1.24252316,1.242521569,1.242520394
Temoa,scenario_1,AB,Activity|electricity|E_INT_IN-BC,PJ,0.037740302,0.037740261,0.037740253,0.036636442,0.030311842,0.028869498
Temoa,scenario_1,AB,Activity|electricity|E_INT_IN-SK,PJ,0.943332292,0.925348896,0.893448699,0.90466899,0.815229884,0.787524847
Temoa,scenario_1,AB,Activity|electricity|E_INT_IN-USA,PJ,4.424717981,4.353438653,4.325235446,4.255319249,4.26620506,4.227270674
Temoa,scenario_1,AB,Activity|electricity|E_INT_OUT-BC,PJ,,,7.8525576,7.8525576,,
Temoa,scenario_1,AB,Activity|electricity|E_INT_OUT-SK,PJ,7.8525576,7.8525576,,,7.8525576,7.8525576
Temoa,scenario_1,AB,Activity|electricity|E_NG_CC-EXS,PJ,,,,,,5.318981636
Temoa,scenario_1,AB,Activity|electricity|E_NG_CC_RFIT_BYPASS,PJ,,,,,,5.31905539
Temoa,scenario_1,AB,Activity|electricity|E_NG_CG-EXS,PJ,47.5940112,45.21431272,45.21431272,45.21431205,27.58027888,17.72968623
Temoa,scenario_1,AB,Activity|electricity|E_NUC_PWR-NEW,PJ,2.949254322,2.949254284,2.949254251,2.949254183,2.949254052,1.275572771
Temoa,scenario_1,AB,Activity|electricity|E_NUC_SMR-NEW,PJ,,,,23.06320016,77.50364781,133.6153296
Temoa,scenario_1,AB,Activity|electricity|E_SOL_PV-EXS,PJ,11.03507767,10.94258149,10.48390361,9.79386283,9.004900727,1.642026531
Temoa,scenario_1,AB,Activity|electricity|E_SOL_PV-NEW-1,PJ,0.000189249,7.59E-05,0.000431493,0.000355118,0.000286693,0.00032743
Temoa,scenario_1,AB,Activity|electricity|E_SOL_PV-NEW-2,PJ,0.001305507,0.001132555,11.33389479,10.73234327,9.819793563,9.450333513
Temoa,scenario_1,AB,Activity|electricity|E_SOL_PV-NEW-3,PJ,110.3033296,108.3903111,106.5464178,103.8445993,97.55066307,93.23602831
Temoa,scenario_1,AB,Activity|electricity|E_WND_ON-EXS,PJ,61.17425397,59.66840208,54.70280922,45.68918441,40.22815227,22.98280829
Temoa,scenario_1,AB,Activity|electricity|E_WND_ON-NEW-1,PJ,5.164121227,4.924594435,4.814329816,4.758591305,4.619415604,4.533612632
